Salarios
5869.56
3521.73
5869.56
3913.04
4402.17
3094.72
4402.17
3423.91
3196.72
5282.60
5869.56
3521.73
6945.65
7092.39
7826.08
3521.73
4695.65
6603.26
6114.13
5580.97
3521.73
7043.47
7043.47
4695.65
5901.63
5163.93
5508.19
3147.54
3049.18
3836.06
4721.31
3098.36
5409.83
6163.04
5331.52
5552.60
4548.91
6065.21
5869.56
6861.87
4773.48
6265.19
3580.11
4773.48
7160.22
7336.95
6163.04
3717.39
5869.56
5869.56
7834.42
3521.73
5869.56
3423.91
4646.73
3423.91
5869.56
5869.56
4402.17
5869.56
7081.96
4426.22
7081.96
4426.22
5311.47
5901.63
3540.98
4721.31
3521.73
7826.08
4035.81
4773.48
3480.66
3580.11
5380.43
3692.93
5869.56
3404.34
4108.69
3668.47
5282.60
5869.56
5869.56
4891.30
6847.82
7043.47
5606.55
5901.63
7377.04
6491.80
7043.47
6847.82
6802.82
4426.22
5311.47
4426.22
3836.06
3344.26
4529.50
4022.21
6163.04
3406.07
5847.51
3580.11
3130.43
5576.08
3521.73
5869.56
6603.26
6603.26
3913.04
6735.32
5869.56
5869.56
6737.70
5114.75
3737.70
7081.96
3540.98
3836.06
3668.47
3668.47
4891.30
6603.26
5380.43
3668.47
6639.34
4426.22
3540.98
7868.85
3196.72
7829.50
4131.14
4721.31
4695.65
7826.08
3668.47
7508.28
4723.75
6861.87
3580.11
4972.37
4402.17
3668.47
3668.47
3521.73
5869.56
7043.47
3179.34
6358.69
6661.95
3913.04
6491.80
4918.03
4918.03
6639.34
4940.21
6358.69
4891.30
5003.80
7826.08
6749.99
4695.65
3130.43
3196.72
5778.68
4672.13
5901.63
5901.63
5901.63
3540.98
4206.52
7160.22
5966.85
3057.06
5869.56
3301.63
7336.95
6114.13
3423.91
5869.56
5869.56
4891.30
4402.17
6358.69
3913.04
3179.34
5624.99
3639.34
5606.55
3913.04
7043.47
4891.30
7923.91
5869.56
5869.56
5065.57
3688.52
3688.52
3196.72
4795.08
3196.72
3836.06
3196.72
3688.52
4447.86
3688.52
3934.42
4918.03
7826.08
3668.47
3521.73
5869.56
3179.34
4972.37
4972.37
4723.75
5807.73
5469.61
4891.30
7043.47
7630.43
3668.47
4695.65
7043.47
4695.65
5478.26
4206.52
